Steps,Total Humans,Births,Deaths,Marriages,Laborers,Single Males,Married Males,Currently Migrated
6,371,0,0,0,161,25,92,76,
12,370,0,1,1,160,24,92,76,
18,370,0,1,1,158,24,92,78,
24,370,0,1,1,158,24,92,78,
30,370,0,1,1,157,24,92,79,
36,370,0,1,1,157,24,92,79,
42,370,0,1,1,157,24,92,79,
48,370,0,1,1,157,24,92,79,
54,370,0,1,1,157,24,92,79,
60,370,0,1,1,157,24,92,79,
66,370,0,1,2,156,23,93,80,
72,370,0,1,2,156,23,93,80,
78,371,1,1,2,159,25,93,80,
84,371,1,1,2,159,25,93,80,
90,372,3,2,2,158,25,93,80,
96,372,3,2,2,157,25,93,81,
102,371,3,3,2,156,25,93,81,
108,371,3,3,2,156,25,93,81,
114,372,4,3,2,156,25,93,81,
120,370,4,4,2,154,25,92,82,
126,371,5,4,2,154,25,92,82,
132,373,7,4,2,154,25,92,82,
138,374,8,4,2,154,25,92,82,
144,373,8,5,2,153,25,92,82,
150,373,8,5,2,155,25,92,82,
156,373,8,5,2,155,25,92,82,
162,374,9,5,2,155,25,92,82,
168,376,11,5,2,155,25,92,82,
174,376,11,5,2,155,25,92,82,
180,376,11,5,2,155,25,92,82,
186,375,11,6,2,154,25,92,82,
192,376,12,6,3,154,24,93,82,
198,375,12,7,3,153,24,93,82,
204,376,13,7,3,153,24,93,82,
210,376,13,7,3,152,24,93,83,
216,376,13,7,3,152,24,93,83,
222,376,13,7,3,153,25,93,83,
228,377,14,7,3,153,25,93,83,
234,377,15,8,3,152,25,92,83,
240,377,15,8,3,152,25,92,83,
246,378,16,8,3,152,25,92,83,
252,378,16,8,3,152,25,92,83,
258,378,16,8,3,152,25,92,83,
264,378,16,8,3,152,25,92,83,
270,378,17,9,3,151,25,91,83,
276,380,19,9,3,151,25,91,83,
282,380,19,9,3,151,25,91,83,
288,379,19,10,3,150,25,91,83,
294,380,20,10,4,151,29,92,83,
300,380,20,10,5,151,29,93,83,
306,380,20,10,5,151,28,93,83,
312,381,21,10,5,151,28,93,83,
318,381,21,10,6,151,27,94,83,
324,380,21,11,6,150,27,93,83,
330,379,21,12,6,149,27,92,83,
336,380,22,12,6,149,27,92,83,
342,380,22,12,6,149,27,92,83,
348,381,23,12,6,149,27,92,83,
354,381,23,12,6,149,27,92,83,
360,380,23,13,6,148,27,92,83,
366,380,23,13,6,151,30,92,83,
372,381,24,13,6,151,30,92,83,
378,381,24,13,6,151,30,92,83,
384,381,24,13,6,150,30,92,84,
390,381,24,13,6,151,31,92,83,
396,382,25,13,6,151,31,92,83,
402,382,25,13,6,151,31,92,83,
408,382,25,13,6,151,31,92,83,
414,382,25,13,6,151,31,92,83,
420,382,25,13,6,151,31,92,83,
426,381,25,14,6,150,31,92,83,
432,381,25,14,6,150,31,92,83,
438,382,26,14,6,150,40,92,82,
444,384,28,14,6,150,40,92,82,
450,385,29,14,6,149,40,92,83,
456,385,29,14,6,149,40,92,83,
462,384,29,15,6,148,40,92,83,
468,384,29,15,6,147,40,92,84,
474,384,29,15,6,146,40,92,85,
480,382,29,17,6,144,40,91,85,
486,382,29,17,6,143,40,91,86,
492,382,29,17,6,143,40,91,86,
498,383,30,17,6,143,40,91,86,
504,381,30,19,7,141,40,92,86,
510,381,30,19,7,141,39,92,86,
516,381,30,19,7,139,40,92,87,
522,381,30,19,8,139,39,93,87,
528,382,31,19,8,139,39,93,87,
534,382,31,19,8,139,39,93,87,
540,382,31,19,8,139,39,93,87,
546,382,31,19,8,139,39,93,87,
552,380,31,21,8,137,39,93,87,
558,380,31,21,8,137,39,93,87,
564,380,31,21,8,136,39,93,88,
570,380,31,21,8,136,39,93,88,
576,380,31,21,8,136,39,93,88,
582,380,31,21,9,136,38,94,88,
588,379,31,22,10,134,40,94,88,
594,379,31,22,10,134,40,94,88,
600,377,31,24,11,132,39,93,88,
606,380,34,24,11,132,39,93,88,
612,381,35,24,11,131,39,93,89,
618,381,35,24,11,131,39,93,89,
624,383,37,24,11,131,39,93,89,
630,382,37,25,11,130,39,92,89,
636,382,37,25,11,130,39,92,89,
642,382,37,25,11,130,39,92,89,
648,382,37,25,11,130,39,92,89,
654,382,37,25,11,130,39,92,89,
660,383,38,25,12,128,38,93,90,
666,383,38,25,12,128,38,93,90,
672,383,38,25,13,127,37,94,91,
678,383,38,25,13,127,37,94,91,
684,383,38,25,13,127,37,94,91,
690,384,39,25,13,127,37,94,91,
696,383,39,26,14,126,37,94,91,
702,383,39,26,14,127,38,94,90,
708,384,40,26,14,127,38,94,90,
714,385,41,26,14,126,38,94,91,
720,386,42,26,15,127,38,95,90,
726,387,43,26,15,127,38,95,90,
732,387,43,26,15,126,39,95,90,
738,388,44,26,15,126,39,95,90,
744,388,44,26,15,126,39,95,90,
750,389,45,26,16,127,39,96,89,
756,389,45,26,16,127,39,96,89,
762,389,45,26,17,127,39,97,89,
768,390,46,26,19,128,37,99,88,
774,389,46,27,19,127,37,98,88,
780,389,47,28,19,126,37,98,88,
786,390,48,28,20,126,36,99,88,
792,390,48,28,20,126,36,99,88,
798,390,50,30,21,124,35,100,88,
804,390,51,31,21,124,35,100,87,
810,391,52,31,21,124,35,100,87,
816,391,52,31,21,124,35,100,87,
822,394,55,31,21,124,35,100,87,
828,395,56,31,22,124,34,101,87,
834,395,56,31,22,124,34,101,87,
840,396,57,31,22,124,34,101,87,
846,396,57,31,22,124,34,101,87,
852,396,57,31,22,124,34,101,87,
858,396,57,31,22,124,34,101,87,
864,397,58,31,22,121,34,101,90,
870,397,58,31,22,121,34,101,90,
876,397,59,32,22,118,34,101,90,
882,398,60,32,22,124,34,101,90,
888,397,60,33,22,123,34,100,90,
894,397,60,33,22,123,34,100,90,
900,398,61,33,22,122,34,100,91,
906,400,63,33,22,122,34,100,91,
912,400,63,33,22,122,34,100,91,
918,399,63,34,23,121,33,100,91,
924,401,65,34,23,120,33,100,92,
930,401,65,34,23,120,33,100,92,
936,401,65,34,23,120,33,100,92,
942,401,65,34,23,120,33,100,92,
948,401,65,34,23,120,33,100,92,
954,400,65,35,23,123,33,99,92,
960,399,65,36,23,122,33,98,92,
966,398,65,37,23,120,33,97,93,
972,398,65,37,23,120,33,97,93,
978,398,65,37,23,119,33,97,94,
984,398,65,37,23,119,33,97,94,
990,397,65,38,23,118,33,96,94,
996,397,65,38,23,118,33,96,94,
1002,399,67,38,23,118,33,96,94,
1008,399,67,38,23,118,33,96,94,
1014,399,67,38,23,118,33,96,94,
1020,399,67,38,23,117,33,96,95,
1026,399,67,38,23,127,34,96,94,
1032,399,67,38,23,127,34,96,94,
1038,399,67,38,23,127,34,96,94,
1044,399,67,38,23,128,35,96,93,
1050,399,67,38,24,127,34,97,94,
1056,399,67,38,24,127,34,97,94,
1062,397,67,40,24,126,34,96,94,
1068,395,67,42,25,123,33,96,95,
1074,394,67,43,25,123,33,96,95,
