Steps,Total Humans,Births,Deaths,Marriages,Laborers,Single Males,Married Males,Currently Migrated
6,371,0,0,0,161,26,92,75,
12,370,0,1,1,160,25,93,75,
18,370,0,1,1,159,25,93,76,
24,369,0,2,1,158,25,92,76,
30,368,0,3,1,157,25,92,76,
36,368,0,3,1,156,25,92,77,
42,368,0,3,1,156,25,92,77,
48,367,0,4,1,155,25,92,77,
54,366,0,5,1,154,25,91,77,
60,366,0,5,1,154,25,91,77,
66,366,0,5,1,154,25,91,77,
72,366,0,5,1,154,25,91,77,
78,366,0,5,1,157,27,91,77,
84,366,0,5,1,157,27,91,77,
90,366,0,5,1,157,27,91,77,
96,367,1,5,1,157,27,91,77,
102,366,1,6,1,155,27,91,78,
108,367,2,6,1,155,27,91,78,
114,367,2,6,1,155,27,91,78,
120,367,2,6,1,155,27,91,78,
126,367,2,6,1,155,27,91,78,
132,367,2,6,1,155,27,91,78,
138,367,2,6,1,154,27,91,79,
144,367,2,6,2,153,26,92,80,
150,367,2,6,2,155,26,92,80,
156,366,2,7,2,155,27,92,79,
162,367,3,7,2,155,27,92,79,
168,366,3,8,2,154,27,92,79,
174,367,4,8,2,153,28,92,80,
180,366,4,9,2,152,28,91,80,
186,365,4,10,2,151,28,91,80,
192,367,6,10,2,151,28,91,80,
198,367,6,10,2,151,28,91,80,
204,369,8,10,2,151,28,91,80,
210,370,9,10,2,150,28,91,81,
216,370,9,10,2,150,28,91,81,
222,371,10,10,2,151,29,91,81,
228,371,10,10,2,151,29,91,81,
234,374,13,10,2,151,29,91,81,
240,375,14,10,2,151,29,91,81,
246,376,15,10,2,151,29,91,81,
252,376,15,10,2,151,29,91,81,
258,376,15,10,2,151,29,91,81,
264,376,15,10,2,152,29,91,80,
270,376,15,10,2,152,29,91,80,
276,376,15,10,2,152,29,91,80,
282,377,16,10,4,152,28,93,80,
288,377,16,10,4,153,29,93,79,
294,377,16,10,4,154,33,93,79,
300,377,16,10,4,153,33,93,80,
306,376,16,10,4,152,33,93,81,
312,377,17,10,4,151,33,93,82,
318,377,18,11,4,150,33,93,82,
324,378,19,11,4,150,33,93,82,
330,377,19,12,4,149,33,92,82,
336,377,19,12,4,149,33,92,82,
342,377,20,13,4,147,33,91,83,
348,377,20,13,4,147,33,91,83,
354,378,21,13,4,147,33,91,83,
360,378,21,13,4,147,33,91,83,
366,379,22,13,5,150,36,92,83,
372,379,22,13,6,151,36,93,82,
378,378,22,14,6,150,36,92,82,
384,378,22,14,6,150,36,92,82,
390,378,23,15,6,149,36,92,82,
396,379,24,15,6,149,36,92,82,
402,379,24,15,6,149,36,92,82,
408,379,24,15,6,149,36,92,82,
414,379,24,15,6,149,36,92,82,
420,378,24,16,6,148,36,91,82,
426,378,24,16,6,148,36,91,82,
432,378,25,17,6,147,36,91,82,
438,379,26,17,6,146,43,91,82,
444,380,27,17,6,146,43,91,82,
450,380,27,17,6,146,43,91,82,
456,380,27,17,6,146,43,91,82,
462,379,27,18,6,144,43,91,83,
468,380,29,19,6,143,43,91,83,
474,380,29,19,6,143,43,91,83,
480,380,29,19,6,143,43,91,83,
486,380,29,19,7,142,42,92,84,
492,379,29,20,7,141,42,92,84,
498,378,29,21,7,140,42,92,84,
504,378,29,21,8,140,41,93,84,
510,380,31,21,9,140,40,94,84,
516,379,31,22,11,138,40,96,84,
522,380,32,22,11,138,40,96,84,
528,380,32,22,12,138,39,97,84,
534,379,32,23,12,137,39,96,84,
540,379,32,23,12,137,39,96,84,
546,380,34,24,12,137,40,95,83,
552,381,35,24,12,137,40,95,83,
558,381,35,24,12,137,40,95,83,
564,380,35,25,12,136,40,95,83,
570,380,35,25,12,136,40,95,83,
576,381,36,25,12,137,41,95,82,
582,381,36,25,12,137,41,95,82,
588,381,36,25,12,135,43,95,82,
594,382,37,25,12,135,43,95,82,
600,383,38,25,12,135,43,95,82,
606,382,38,26,12,135,44,94,81,
612,383,39,26,12,135,44,94,81,
618,384,40,26,12,135,44,94,81,
624,384,40,26,13,135,43,95,81,
630,384,40,26,13,135,43,95,81,
636,384,40,26,13,135,43,95,81,
642,384,40,26,13,135,43,95,81,
648,384,40,26,13,136,43,95,80,
654,384,40,26,13,136,43,95,80,
660,384,40,26,14,133,43,96,80,
666,384,40,26,14,134,43,96,79,
672,385,41,26,14,134,43,96,79,
678,386,42,26,14,134,43,96,79,
684,387,43,26,14,134,43,96,79,
690,389,45,26,14,134,43,96,79,
696,389,45,26,15,134,42,97,79,
702,386,45,29,15,131,42,94,79,
708,386,45,29,15,131,42,94,79,
714,387,46,29,15,131,42,94,79,
720,387,46,29,15,131,42,94,79,
726,388,47,29,15,131,42,94,79,
732,388,47,29,15,130,43,94,79,
738,387,48,31,15,128,43,93,79,
744,387,48,31,15,128,43,93,79,
750,388,49,31,16,128,42,94,79,
756,389,50,31,16,128,42,94,79,
762,389,50,31,16,128,42,94,79,
768,389,50,31,16,128,42,94,79,
774,389,50,31,16,128,42,94,79,
780,391,52,31,16,128,42,94,79,
786,388,52,34,16,125,42,91,79,
792,388,52,34,16,125,42,91,79,
798,388,52,34,17,125,42,92,79,
804,388,52,34,17,124,42,92,79,
810,388,52,34,18,124,42,93,79,
816,388,52,34,18,124,41,93,79,
822,387,52,35,18,123,41,92,79,
828,388,53,35,18,123,41,92,79,
834,391,56,35,18,123,41,92,79,
840,392,57,35,18,123,41,92,79,
846,393,58,35,18,123,41,92,79,
852,394,59,35,18,123,41,92,79,
858,394,59,35,18,123,41,92,79,
864,393,59,36,18,121,41,91,80,
870,393,59,36,18,120,41,91,81,
876,393,59,36,18,117,41,91,81,
882,393,59,36,18,123,41,91,81,
888,393,59,36,18,123,41,91,81,
894,393,59,36,18,123,41,91,81,
900,393,59,36,18,122,41,91,82,
906,394,60,36,18,122,41,91,82,
912,394,60,36,19,122,40,92,82,
918,394,60,36,20,122,39,93,82,
924,394,60,36,20,122,39,93,82,
930,393,60,37,20,120,39,92,83,
936,393,60,37,20,120,39,92,83,
942,393,60,37,20,120,39,92,83,
948,394,61,37,20,120,39,92,83,
954,393,61,38,20,122,40,91,84,
960,394,62,38,20,122,40,91,84,
966,394,62,38,20,121,40,91,85,
972,394,62,38,20,121,40,91,85,
978,394,62,38,20,121,40,91,85,
984,394,62,38,21,120,40,92,86,
990,392,62,40,21,118,39,91,86,
996,392,62,40,23,118,38,93,86,
1002,392,62,40,23,118,38,93,86,
1008,394,64,40,23,118,38,93,86,
1014,394,64,40,23,118,38,93,86,
1020,394,64,40,23,118,38,93,86,
1026,394,64,40,23,127,40,93,86,
1032,393,64,41,23,126,40,92,86,
1038,393,65,42,23,124,40,92,87,
1044,393,65,42,23,124,40,92,87,
1050,393,65,42,23,124,40,92,87,
1056,392,65,43,23,123,40,91,87,
1062,391,65,44,23,122,40,90,87,
1068,393,67,44,23,122,40,90,87,
1074,392,67,45,23,122,40,90,87,
1080,392,67,45,23,122,40,90,87,
1086,393,68,45,23,122,40,90,87,
1092,394,69,45,23,122,40,90,87,
1098,394,69,45,23,117,40,90,87,
1104,393,69,46,24,116,39,90,87,
1110,394,70,46,24,116,39,90,87,
1116,394,70,46,24,116,39,90,87,
1122,393,71,48,24,114,39,89,87,
1128,393,71,48,24,114,39,89,87,
1134,394,72,48,24,115,39,89,86,
1140,394,72,48,24,115,39,89,86,
1146,394,72,48,24,115,39,89,86,
1152,393,72,49,24,113,39,89,87,
1158,393,72,49,24,112,39,89,88,
1164,393,72,49,24,112,39,89,88,
1170,393,73,50,24,106,40,89,88,
1176,393,75,51,24,102,40,88,91,
1182,393,75,51,24,102,40,88,91,
1188,393,75,51,24,101,40,88,92,
1194,394,76,51,24,102,40,88,92,
1200,394,76,51,24,103,40,88,91,
1206,394,76,51,24,103,40,88,92,
1212,394,76,51,24,103,40,88,91,
1218,394,76,51,25,103,39,89,91,
1224,394,76,51,25,103,39,89,91,
1230,394,76,51,26,103,38,90,91,
1236,393,76,52,26,102,38,90,91,
1242,393,76,52,26,99,38,90,91,
1248,393,76,52,26,99,38,90,91,
1254,393,76,52,27,99,37,91,91,
1260,392,76,53,27,99,37,90,91,
1266,393,77,53,27,99,37,90,91,
1272,393,77,53,27,100,37,90,91,
1278,392,77,54,28,99,36,90,90,
1284,390,77,56,28,97,36,88,90,
1290,391,78,56,28,99,36,88,90,
1296,393,80,56,28,99,36,88,90,
1302,393,80,56,28,102,36,88,89,
1308,393,80,56,28,102,36,88,89,
1314,392,80,56,28,99,40,88,90,
1320,392,80,56,28,100,40,88,90,
1326,392,80,56,28,100,40,88,90,
1332,392,80,56,28,101,40,88,92,
1338,393,81,56,28,102,40,88,92,
1344,394,82,56,29,103,40,89,91,
1350,394,82,56,29,103,40,89,91,
1356,393,82,57,29,102,40,88,91,
1362,392,82,58,29,101,40,88,91,
1368,391,82,59,29,100,40,87,91,
1374,391,82,59,29,101,40,87,91,
1380,391,82,59,30,101,39,88,91,
1386,391,82,59,30,101,39,88,91,
1392,390,82,60,30,98,42,88,91,
1398,390,82,60,30,98,42,88,91,
1404,389,82,61,30,97,42,88,91,
1410,390,83,61,31,98,41,89,91,
1416,390,83,61,31,99,41,89,91,
1422,390,83,61,31,100,41,89,91,
1428,390,83,61,31,100,41,89,91,
1434,391,84,61,31,100,41,89,91,
1440,391,84,61,31,101,41,89,91,
1446,390,84,62,31,100,41,88,91,
1452,390,84,62,31,102,42,88,90,
1458,390,84,62,31,101,42,88,91,
